Airport,Year,Month,Public Parking Counts at PA Airports 
Newark Liberty International Airport,2005,10,354391
Newark Liberty International Airport,2005,11,355942
Newark Liberty International Airport,2005,12,360201
Newark Liberty International Airport,2006,1,348429
Newark Liberty International Airport,2006,2,314359
Newark Liberty International Airport,2006,3,390256
Newark Liberty International Airport,2006,4,381197
Newark Liberty International Airport,2006,5,384145
Newark Liberty International Airport,2006,6,402885
Newark Liberty International Airport,2006,7,422922
Newark Liberty International Airport,2006,8,423154
Newark Liberty International Airport,2006,9,346614
Newark Liberty International Airport,2006,10,358394
Newark Liberty International Airport,2006,11,359293
Newark Liberty International Airport,2006,12,348321
Newark Liberty International Airport,2007,1,335870
Newark Liberty International Airport,2007,2,303751
Newark Liberty International Airport,2007,3,373790
Newark Liberty International Airport,2007,4,358768
Newark Liberty International Airport,2007,5,367149
Newark Liberty International Airport,2007,6,382831
Newark Liberty International Airport,2007,7,393423
Newark Liberty International Airport,2007,8,403160
Newark Liberty International Airport,2007,9,323507
Newark Liberty International Airport,2007,10,343209
Newark Liberty International Airport,2007,11,342910
Newark Liberty International Airport,2007,12,317620
Newark Liberty International Airport,2008,1,313488
Newark Liberty International Airport,2008,2,293995
Newark Liberty International Airport,2008,3,338801
Newark Liberty International Airport,2008,4,325171
Newark Liberty International Airport,2008,5,334113
Newark Liberty International Airport,2008,6,344119
Newark Liberty International Airport,2008,7,354536
Newark Liberty International Airport,2008,8,351456
Newark Liberty International Airport,2008,9,274052
Newark Liberty International Airport,2008,10,293076
Newark Liberty International Airport,2008,11,266798
Newark Liberty International Airport,2008,12,272841
Newark Liberty International Airport,2009,1,250990
Newark Liberty International Airport,2009,2,228228
Newark Liberty International Airport,2009,3,271751
Newark Liberty International Airport,2009,4,276144
Newark Liberty International Airport,2009,5,272989
Newark Liberty International Airport,2009,6,295163
Newark Liberty International Airport,2009,7,320866
Newark Liberty International Airport,2009,8,320592
Newark Liberty International Airport,2009,9,251310
Newark Liberty International Airport,2009,10,275101
Newark Liberty International Airport,2009,11,253248
Newark Liberty International Airport,2009,12,256380
Newark Liberty International Airport,2010,1,249393
Newark Liberty International Airport,2010,2,206101
Newark Liberty International Airport,2010,3,269298
Newark Liberty International Airport,2010,4,257728
Newark Liberty International Airport,2010,5,271845
Newark Liberty International Airport,2010,6,280410
Newark Liberty International Airport,2010,7,296243
Newark Liberty International Airport,2010,8,290388
Newark Liberty International Airport,2010,9,243934
Newark Liberty International Airport,2010,10,260645
Newark Liberty International Airport,2010,11,240823
Newark Liberty International Airport,2010,12,238393
Newark Liberty International Airport,2011,1,224144
Newark Liberty International Airport,2011,2,201360
Newark Liberty International Airport,2011,3,254706
Newark Liberty International Airport,2011,4,256885
Newark Liberty International Airport,2011,5,276502
Newark Liberty International Airport,2011,6,284479
Newark Liberty International Airport,2011,7,296013
Newark Liberty International Airport,2011,8,281536
Newark Liberty International Airport,2011,9,253142
Newark Liberty International Airport,2011,10,254299
Newark Liberty International Airport,2011,11,238583
Newark Liberty International Airport,2011,12,241369
Newark Liberty International Airport,2012,1,228680
Newark Liberty International Airport,2012,2,213532
Newark Liberty International Airport,2012,3,260864
Newark Liberty International Airport,2012,4,249217
Newark Liberty International Airport,2012,5,259334
Newark Liberty International Airport,2012,6,267365
Newark Liberty International Airport,2012,7,267841
Newark Liberty International Airport,2012,8,273172
Newark Liberty International Airport,2012,9,232627
Newark Liberty International Airport,2012,10,229003
Newark Liberty International Airport,2012,11,218468
Newark Liberty International Airport,2012,12,224010
Newark Liberty International Airport,2013,1,218104
Newark Liberty International Airport,2013,2,194901
Newark Liberty International Airport,2013,3,244721
Newark Liberty International Airport,2013,4,242584
Newark Liberty International Airport,2013,5,257042
Newark Liberty International Airport,2013,6,265638
Newark Liberty International Airport,2013,7,264340
Newark Liberty International Airport,2013,8,267267
Newark Liberty International Airport,2013,9,228822
Newark Liberty International Airport,2013,10,242530
Newark Liberty International Airport,2013,11,221097
Newark Liberty International Airport,2013,12,231425
Newark Liberty International Airport,2014,1,216279
Newark Liberty International Airport,2014,2,184495
Newark Liberty International Airport,2014,3,239754
Newark Liberty International Airport,2014,4,231446
Newark Liberty International Airport,2014,5,250923
Newark Liberty International Airport,2014,6,262438
Newark Liberty International Airport,2014,7,266218
Newark Liberty International Airport,2014,8,260712
Newark Liberty International Airport,2014,9,229765
Newark Liberty International Airport,2014,10,234318
Newark Liberty International Airport,2014,11,232574
Newark Liberty International Airport,2014,12,231952
Newark Liberty International Airport,2015,1,211740
Newark Liberty International Airport,2015,2,187378
Newark Liberty International Airport,2015,3,245763
Newark Liberty International Airport,2015,4,237152
Newark Liberty International Airport,2015,5,246944
Newark Liberty International Airport,2015,6,255695
Newark Liberty International Airport,2015,7,261348
Newark Liberty International Airport,2015,8,260624
Newark Liberty International Airport,2015,9,231407
Newark Liberty International Airport,2015,10,252529
Newark Liberty International Airport,2015,11,240215
Newark Liberty International Airport,2015,12,241540
Newark Liberty International Airport,2016,1,213225
Newark Liberty International Airport,2016,2,200102
Newark Liberty International Airport,2016,3,234749
Newark Liberty International Airport,2016,4,234749
Newark Liberty International Airport,2016,5,247409
Newark Liberty International Airport,2016,6,254858
Newark Liberty International Airport,2016,7,260212
Newark Liberty International Airport,2016,8,260335
Newark Liberty International Airport,2016,9,234412
LaGuardia Airport,2002,1,184381
LaGuardia Airport,2002,2,178704
LaGuardia Airport,2002,3,220008
LaGuardia Airport,2002,4,214541
LaGuardia Airport,2002,5,221884
LaGuardia Airport,2002,6,223992
LaGuardia Airport,2002,7,236632
LaGuardia Airport,2002,8,248965
LaGuardia Airport,2002,9,185301
LaGuardia Airport,2002,10,205595
LaGuardia Airport,2002,11,206050
LaGuardia Airport,2002,12,216018
LaGuardia Airport,2003,1,186709
LaGuardia Airport,2003,2,160933
LaGuardia Airport,2003,3,181656
LaGuardia Airport,2003,4,185504
LaGuardia Airport,2003,5,196814
LaGuardia Airport,2003,6,202957
LaGuardia Airport,2003,7,221800
LaGuardia Airport,2003,8,232250
LaGuardia Airport,2003,9,171749
LaGuardia Airport,2003,10,195034
LaGuardia Airport,2003,11,187932
LaGuardia Airport,2003,12,191582
LaGuardia Airport,2004,1,170076
LaGuardia Airport,2004,2,170000
LaGuardia Airport,2004,3,191826
LaGuardia Airport,2004,4,195421
LaGuardia Airport,2004,5,193284
LaGuardia Airport,2004,6,201867
LaGuardia Airport,2004,7,212560
LaGuardia Airport,2004,8,216342
LaGuardia Airport,2004,9,174222
LaGuardia Airport,2004,10,195313
LaGuardia Airport,2004,11,190887
LaGuardia Airport,2004,12,193299
LaGuardia Airport,2005,1,177031
LaGuardia Airport,2005,2,167407
LaGuardia Airport,2005,3,201780
LaGuardia Airport,2005,4,189202
LaGuardia Airport,2005,5,201247
LaGuardia Airport,2005,6,204715
LaGuardia Airport,2005,7,208696
LaGuardia Airport,2005,8,206428
LaGuardia Airport,2005,9,170213
LaGuardia Airport,2005,10,170994
LaGuardia Airport,2005,11,175389
LaGuardia Airport,2005,12,177558
LaGuardia Airport,2006,1,166889
LaGuardia Airport,2006,2,155549
LaGuardia Airport,2006,3,187841
LaGuardia Airport,2006,4,182373
LaGuardia Airport,2006,5,176267
LaGuardia Airport,2006,6,188250
LaGuardia Airport,2006,7,192270
LaGuardia Airport,2006,8,188409
LaGuardia Airport,2006,9,154488
LaGuardia Airport,2006,10,168505
LaGuardia Airport,2006,11,166830
LaGuardia Airport,2006,12,159395
LaGuardia Airport,2007,1,148195
LaGuardia Airport,2007,2,134815
LaGuardia Airport,2007,3,159866
LaGuardia Airport,2007,4,160659
LaGuardia Airport,2007,5,165867
LaGuardia Airport,2007,6,168554
LaGuardia Airport,2007,7,175463
LaGuardia Airport,2007,8,176684
LaGuardia Airport,2007,9,139408
LaGuardia Airport,2007,10,156253
LaGuardia Airport,2007,11,151805
LaGuardia Airport,2007,12,136791
LaGuardia Airport,2008,1,131862
LaGuardia Airport,2008,2,128409
LaGuardia Airport,2008,3,147948
LaGuardia Airport,2008,4,145188
LaGuardia Airport,2008,5,143221
LaGuardia Airport,2008,6,146118
