Airport,Year,Month,Coach Passengers 
LaGuardia Airport,2007,6,35876
LaGuardia Airport,2007,7,33705
LaGuardia Airport,2007,8,36084
LaGuardia Airport,2007,9,32091
LaGuardia Airport,2007,10,31967
LaGuardia Airport,2007,11,31566
LaGuardia Airport,2007,12,29512
LaGuardia Airport,2008,1,23916
LaGuardia Airport,2008,2,20712
LaGuardia Airport,2008,3,26690
LaGuardia Airport,2008,4,22829
LaGuardia Airport,2008,5,33636
LaGuardia Airport,2008,6,31441
LaGuardia Airport,2008,7,29069
LaGuardia Airport,2008,8,38168
LaGuardia Airport,2008,9,27541
LaGuardia Airport,2008,10,26763
LaGuardia Airport,2008,11,25488
LaGuardia Airport,2008,12,25795
LaGuardia Airport,2009,1,21109
LaGuardia Airport,2009,2,18185
LaGuardia Airport,2009,3,24519
LaGuardia Airport,2009,4,24809
LaGuardia Airport,2009,5,24764
LaGuardia Airport,2009,6,26779
LaGuardia Airport,2009,7,33982
LaGuardia Airport,2009,8,35950
LaGuardia Airport,2009,9,33081
LaGuardia Airport,2009,10,28626
LaGuardia Airport,2009,11,29534
LaGuardia Airport,2009,12,31609
LaGuardia Airport,2010,1,23049
LaGuardia Airport,2010,2,19196
LaGuardia Airport,2010,3,27372
LaGuardia Airport,2010,4,33293
LaGuardia Airport,2010,5,37659
LaGuardia Airport,2010,6,36182
LaGuardia Airport,2010,7,38012
LaGuardia Airport,2010,8,40288
LaGuardia Airport,2010,9,37959
LaGuardia Airport,2010,10,36072
LaGuardia Airport,2010,11,34649
LaGuardia Airport,2010,12,37031
LaGuardia Airport,2011,1,9770
LaGuardia Airport,2011,2,13723
LaGuardia Airport,2011,3,17816
LaGuardia Airport,2011,4,16833
LaGuardia Airport,2011,5,32122
LaGuardia Airport,2011,6,20201
LaGuardia Airport,2011,7,18213
LaGuardia Airport,2011,8,19354
LaGuardia Airport,2011,9,21626
LaGuardia Airport,2011,10,21210
LaGuardia Airport,2011,11,21153
LaGuardia Airport,2011,12,20822
LaGuardia Airport,2012,1,15275
LaGuardia Airport,2012,2,14786
LaGuardia Airport,2012,3,20057
LaGuardia Airport,2012,4,21687
LaGuardia Airport,2012,5,27379
LaGuardia Airport,2012,6,26365
LaGuardia Airport,2012,7,25292
LaGuardia Airport,2012,8,27506
LaGuardia Airport,2012,9,24717
LaGuardia Airport,2012,10,21843
LaGuardia Airport,2012,11,23204
LaGuardia Airport,2012,12,23271
LaGuardia Airport,2013,1,17724
LaGuardia Airport,2013,2,14936
LaGuardia Airport,2013,3,23306
LaGuardia Airport,2013,4,20607
LaGuardia Airport,2013,5,27481
LaGuardia Airport,2013,6,25615
LaGuardia Airport,2013,7,25225
LaGuardia Airport,2013,8,27584
LaGuardia Airport,2013,9,23705
LaGuardia Airport,2013,10,24199
LaGuardia Airport,2013,11,17488
LaGuardia Airport,2013,12,19597
LaGuardia Airport,2014,1,25557
LaGuardia Airport,2014,2,14134
LaGuardia Airport,2014,3,22309
LaGuardia Airport,2014,4,21963
LaGuardia Airport,2014,5,15464
LaGuardia Airport,2014,6,24645
LaGuardia Airport,2014,7,26287
LaGuardia Airport,2014,8,27910
LaGuardia Airport,2014,9,23770
LaGuardia Airport,2014,10,21900
LaGuardia Airport,2014,11,16817
LaGuardia Airport,2014,12,24004
LaGuardia Airport,2015,1,18113
LaGuardia Airport,2015,2,15736
LaGuardia Airport,2015,3,22360
LaGuardia Airport,2015,4,21852
LaGuardia Airport,2015,5,27890
LaGuardia Airport,2015,6,27636
LaGuardia Airport,2015,7,27516
LaGuardia Airport,2015,8,29153
LaGuardia Airport,2015,9,25194
LaGuardia Airport,2015,10,24726
LaGuardia Airport,2015,11,20631
LaGuardia Airport,2015,12,24162
