Airport,Year,Month,Shared Ride Passengers 
Newark Liberty International Airport,2007,6,12119
Newark Liberty International Airport,2007,7,12062
Newark Liberty International Airport,2007,8,13120
Newark Liberty International Airport,2007,9,10976
Newark Liberty International Airport,2007,10,11791
Newark Liberty International Airport,2007,11,10807
Newark Liberty International Airport,2007,12,12042
Newark Liberty International Airport,2008,1,8900
Newark Liberty International Airport,2008,2,8864
Newark Liberty International Airport,2008,3,12146
Newark Liberty International Airport,2008,4,12950
Newark Liberty International Airport,2008,5,13830
Newark Liberty International Airport,2008,6,13571
Newark Liberty International Airport,2008,7,14890
Newark Liberty International Airport,2008,8,15778
Newark Liberty International Airport,2008,9,14559
Newark Liberty International Airport,2008,10,14986
Newark Liberty International Airport,2008,11,11068
Newark Liberty International Airport,2008,12,13873
Newark Liberty International Airport,2009,1,7930
Newark Liberty International Airport,2009,2,8178
Newark Liberty International Airport,2009,3,10361
Newark Liberty International Airport,2009,4,16150
Newark Liberty International Airport,2009,5,16797
Newark Liberty International Airport,2009,6,14997
Newark Liberty International Airport,2009,7,16061
Newark Liberty International Airport,2009,8,18325
Newark Liberty International Airport,2009,9,16824
Newark Liberty International Airport,2009,10,17632
Newark Liberty International Airport,2009,11,13754
Newark Liberty International Airport,2009,12,18091
Newark Liberty International Airport,2010,1,10344
Newark Liberty International Airport,2010,2,11420
Newark Liberty International Airport,2010,3,16462
Newark Liberty International Airport,2010,4,16386
Newark Liberty International Airport,2010,5,16741
Newark Liberty International Airport,2010,6,17544
Newark Liberty International Airport,2010,7,17171
Newark Liberty International Airport,2010,8,19396
Newark Liberty International Airport,2010,9,16609
Newark Liberty International Airport,2010,10,16968
Newark Liberty International Airport,2010,11,12234
Newark Liberty International Airport,2010,12,14286
Newark Liberty International Airport,2011,1,8663
Newark Liberty International Airport,2011,2,8968
Newark Liberty International Airport,2011,3,13473
Newark Liberty International Airport,2011,4,17218
Newark Liberty International Airport,2011,5,16672
Newark Liberty International Airport,2011,6,15652
Newark Liberty International Airport,2011,7,15361
Newark Liberty International Airport,2011,8,15970
Newark Liberty International Airport,2011,9,15000
Newark Liberty International Airport,2011,10,16625
Newark Liberty International Airport,2011,11,11915
Newark Liberty International Airport,2011,12,15207
Newark Liberty International Airport,2012,1,8355
Newark Liberty International Airport,2012,2,10569
Newark Liberty International Airport,2012,3,14857
Newark Liberty International Airport,2012,4,17447
Newark Liberty International Airport,2012,5,19498
Newark Liberty International Airport,2012,6,18773
Newark Liberty International Airport,2012,7,20838
Newark Liberty International Airport,2012,8,21389
Newark Liberty International Airport,2012,9,18868
Newark Liberty International Airport,2012,10,18385
Newark Liberty International Airport,2012,11,14994
Newark Liberty International Airport,2012,12,16676
Newark Liberty International Airport,2013,1,10619
Newark Liberty International Airport,2013,2,12035
Newark Liberty International Airport,2013,3,17864
Newark Liberty International Airport,2013,4,18226
Newark Liberty International Airport,2013,5,20129
Newark Liberty International Airport,2013,6,17881
Newark Liberty International Airport,2013,7,19297
Newark Liberty International Airport,2013,8,21137
Newark Liberty International Airport,2013,9,17719
Newark Liberty International Airport,2013,10,18475
Newark Liberty International Airport,2013,11,14246
Newark Liberty International Airport,2013,12,18694
Newark Liberty International Airport,2014,1,11063
Newark Liberty International Airport,2014,2,11538
Newark Liberty International Airport,2014,3,15240
Newark Liberty International Airport,2014,4,20188
Newark Liberty International Airport,2014,5,20180
Newark Liberty International Airport,2014,6,17892
Newark Liberty International Airport,2014,7,17775
Newark Liberty International Airport,2014,8,20627
Newark Liberty International Airport,2014,9,17387
Newark Liberty International Airport,2014,10,18928
Newark Liberty International Airport,2014,11,14613
Newark Liberty International Airport,2014,12,18705
Newark Liberty International Airport,2015,1,9770
Newark Liberty International Airport,2015,2,11189
Newark Liberty International Airport,2015,3,14939
Newark Liberty International Airport,2015,4,16279
Newark Liberty International Airport,2015,5,16348
Newark Liberty International Airport,2015,6,14606
Newark Liberty International Airport,2015,7,15571
Newark Liberty International Airport,2015,8,17264
Newark Liberty International Airport,2015,9,16586
Newark Liberty International Airport,2015,10,18036
Newark Liberty International Airport,2015,11,15035
Newark Liberty International Airport,2015,12,18446
LaGuardia Airport,2005,1,11842
LaGuardia Airport,2005,2,11667
LaGuardia Airport,2005,3,17220
LaGuardia Airport,2005,4,15297
LaGuardia Airport,2005,5,18458
LaGuardia Airport,2005,6,18316
LaGuardia Airport,2005,7,21795
LaGuardia Airport,2005,8,19041
LaGuardia Airport,2005,9,16120
LaGuardia Airport,2005,10,16105
LaGuardia Airport,2005,11,15073
LaGuardia Airport,2005,12,20203
LaGuardia Airport,2006,1,14273
LaGuardia Airport,2006,2,12671
LaGuardia Airport,2006,3,20840
LaGuardia Airport,2006,4,19266
LaGuardia Airport,2006,5,21127
LaGuardia Airport,2006,6,23518
LaGuardia Airport,2006,7,23125
LaGuardia Airport,2006,8,21701
LaGuardia Airport,2006,9,17240
LaGuardia Airport,2006,10,17624
LaGuardia Airport,2006,11,16925
LaGuardia Airport,2006,12,19726
LaGuardia Airport,2007,1,12740
LaGuardia Airport,2007,2,12443
LaGuardia Airport,2007,3,19186
LaGuardia Airport,2007,4,21251
LaGuardia Airport,2007,5,18842
LaGuardia Airport,2007,6,18861
LaGuardia Airport,2007,7,19857
LaGuardia Airport,2007,8,18553
LaGuardia Airport,2007,9,13469
LaGuardia Airport,2007,10,14198
LaGuardia Airport,2007,11,13114
LaGuardia Airport,2007,12,14917
LaGuardia Airport,2008,1,11351
LaGuardia Airport,2008,2,9607
LaGuardia Airport,2008,3,15087
LaGuardia Airport,2008,4,12635
LaGuardia Airport,2008,5,15399
LaGuardia Airport,2008,6,17422
LaGuardia Airport,2008,7,15768
LaGuardia Airport,2008,8,16930
LaGuardia Airport,2008,9,12133
LaGuardia Airport,2008,10,12652
LaGuardia Airport,2008,11,10512
LaGuardia Airport,2008,12,13885
LaGuardia Airport,2009,1,8727
LaGuardia Airport,2009,2,8180
LaGuardia Airport,2009,3,12942
LaGuardia Airport,2009,4,13909
LaGuardia Airport,2009,5,13989
LaGuardia Airport,2009,6,17902
LaGuardia Airport,2009,7,19336
LaGuardia Airport,2009,8,17858
LaGuardia Airport,2009,9,15917
LaGuardia Airport,2009,10,16144
LaGuardia Airport,2009,11,13073
LaGuardia Airport,2009,12,17401
LaGuardia Airport,2010,1,10484
LaGuardia Airport,2010,2,9107
LaGuardia Airport,2010,3,15761
LaGuardia Airport,2010,4,15282
LaGuardia Airport,2010,5,17806
LaGuardia Airport,2010,6,19990
LaGuardia Airport,2010,7,19926
LaGuardia Airport,2010,8,17671
LaGuardia Airport,2010,9,15568
LaGuardia Airport,2010,10,16156
LaGuardia Airport,2010,11,13840
LaGuardia Airport,2010,12,16408
LaGuardia Airport,2011,1,11057
LaGuardia Airport,2011,2,9146
LaGuardia Airport,2011,3,16373
LaGuardia Airport,2011,4,14405
LaGuardia Airport,2011,5,17427
LaGuardia Airport,2011,6,18415
LaGuardia Airport,2011,7,18341
LaGuardia Airport,2011,8,15190
LaGuardia Airport,2011,9,13745
LaGuardia Airport,2011,10,14663
LaGuardia Airport,2011,11,14188
LaGuardia Airport,2011,12,16417
LaGuardia Airport,2012,1,10148
LaGuardia Airport,2012,2,10117
LaGuardia Airport,2012,3,16393
LaGuardia Airport,2012,4,14753
LaGuardia Airport,2012,5,17884
LaGuardia Airport,2012,6,20601
LaGuardia Airport,2012,7,20928
LaGuardia Airport,2012,8,21781
LaGuardia Airport,2012,9,17868
LaGuardia Airport,2012,10,17685
LaGuardia Airport,2012,11,16386
LaGuardia Airport,2012,12,18601
LaGuardia Airport,2013,1,12782
LaGuardia Airport,2013,2,10633
LaGuardia Airport,2013,3,17061
LaGuardia Airport,2013,4,14733
LaGuardia Airport,2013,5,16951
LaGuardia Airport,2013,6,17246
LaGuardia Airport,2013,7,17912
LaGuardia Airport,2013,8,17733
LaGuardia Airport,2013,9,13549
LaGuardia Airport,2013,10,14536
LaGuardia Airport,2013,11,13430
LaGuardia Airport,2013,12,16473
LaGuardia Airport,2014,1,11690
LaGuardia Airport,2014,2,9637
LaGuardia Airport,2014,3,15982
LaGuardia Airport,2014,4,13102
LaGuardia Airport,2014,5,15148
LaGuardia Airport,2014,6,16813
LaGuardia Airport,2014,7,16948
LaGuardia Airport,2014,8,15947
LaGuardia Airport,2014,9,13373
LaGuardia Airport,2014,10,14516
LaGuardia Airport,2014,11,11797
LaGuardia Airport,2014,12,15431
LaGuardia Airport,2015,1,9336
LaGuardia Airport,2015,2,8321
LaGuardia Airport,2015,3,13719
LaGuardia Airport,2015,4,12038
LaGuardia Airport,2015,5,13182
LaGuardia Airport,2015,6,14707
LaGuardia Airport,2015,7,15607
LaGuardia Airport,2015,8,13402
LaGuardia Airport,2015,9,11401
LaGuardia Airport,2015,10,11619
LaGuardia Airport,2015,11,9783
LaGuardia Airport,2015,12,12880
