Airport,Year,Month,Shared Ride Reservation
Kennedy International Airport,2013,5,20927
Kennedy International Airport,2013,6,19821
Kennedy International Airport,2013,7,18246
Kennedy International Airport,2013,8,21836
Kennedy International Airport,2013,9,19965
Kennedy International Airport,2013,10,18924
Kennedy International Airport,2013,11,16361
Kennedy International Airport,2013,12,17578
Kennedy International Airport,2014,1,14474
Kennedy International Airport,2014,2,12569
Kennedy International Airport,2014,3,17712
Kennedy International Airport,2014,4,19858
Kennedy International Airport,2014,5,21249
Kennedy International Airport,2014,6,18539
Kennedy International Airport,2014,7,17463
Kennedy International Airport,2014,8,20990
Kennedy International Airport,2014,9,19193
Kennedy International Airport,2014,10,17825
Kennedy International Airport,2014,11,15159
Kennedy International Airport,2014,12,17312
Kennedy International Airport,2015,1,13045
Kennedy International Airport,2015,2,11755
Kennedy International Airport,2015,3,16294
Kennedy International Airport,2015,4,18312
Kennedy International Airport,2015,5,20364
Kennedy International Airport,2015,6,19092
Kennedy International Airport,2015,7,18598
Kennedy International Airport,2015,8,21081
Kennedy International Airport,2015,9,20727
Kennedy International Airport,2015,10,20329
Kennedy International Airport,2015,11,17547
Kennedy International Airport,2015,12,19402
Newark Liberty International Airport,2005,1,7598
Newark Liberty International Airport,2005,2,6945
Newark Liberty International Airport,2005,3,7407
Newark Liberty International Airport,2005,4,8455
Newark Liberty International Airport,2005,5,9826
Newark Liberty International Airport,2005,6,9392
Newark Liberty International Airport,2005,7,9086
Newark Liberty International Airport,2005,8,9487
Newark Liberty International Airport,2005,9,9329
Newark Liberty International Airport,2005,10,9639
Newark Liberty International Airport,2005,11,8843
Newark Liberty International Airport,2005,12,9565
Newark Liberty International Airport,2006,1,7543
Newark Liberty International Airport,2006,2,6681
Newark Liberty International Airport,2006,3,8804
Newark Liberty International Airport,2006,4,8790
Newark Liberty International Airport,2006,5,9041
Newark Liberty International Airport,2006,6,9127
Newark Liberty International Airport,2006,7,8730
Newark Liberty International Airport,2006,8,9038
Newark Liberty International Airport,2006,9,8246
Newark Liberty International Airport,2006,10,8515
Newark Liberty International Airport,2006,11,8115
Newark Liberty International Airport,2006,12,7787
Newark Liberty International Airport,2007,1,6197
Newark Liberty International Airport,2007,2,5641
Newark Liberty International Airport,2007,3,7433
Newark Liberty International Airport,2007,4,7907
Newark Liberty International Airport,2007,5,8247
Newark Liberty International Airport,2007,6,7399
Newark Liberty International Airport,2007,7,7024
Newark Liberty International Airport,2007,8,7819
Newark Liberty International Airport,2007,9,6834
Newark Liberty International Airport,2007,10,6789
Newark Liberty International Airport,2007,11,6676
Newark Liberty International Airport,2007,12,6338
Newark Liberty International Airport,2008,1,6130
Newark Liberty International Airport,2008,2,5600
Newark Liberty International Airport,2008,3,7352
Newark Liberty International Airport,2008,4,7832
Newark Liberty International Airport,2008,5,8609
Newark Liberty International Airport,2008,6,8401
Newark Liberty International Airport,2008,7,8544
Newark Liberty International Airport,2008,8,9286
Newark Liberty International Airport,2008,9,9012
Newark Liberty International Airport,2008,10,8831
Newark Liberty International Airport,2008,11,6833
Newark Liberty International Airport,2008,12,8113
Newark Liberty International Airport,2009,1,5536
Newark Liberty International Airport,2009,2,5340
Newark Liberty International Airport,2009,3,6823
Newark Liberty International Airport,2009,4,9212
Newark Liberty International Airport,2009,5,10251
Newark Liberty International Airport,2009,6,9001
Newark Liberty International Airport,2009,7,8960
Newark Liberty International Airport,2009,8,10291
Newark Liberty International Airport,2009,9,10017
Newark Liberty International Airport,2009,10,10187
Newark Liberty International Airport,2009,11,8222
Newark Liberty International Airport,2009,12,9866
Newark Liberty International Airport,2010,1,6974
Newark Liberty International Airport,2010,2,6809
Newark Liberty International Airport,2010,3,9359
Newark Liberty International Airport,2010,4,8986
Newark Liberty International Airport,2010,5,9277
Newark Liberty International Airport,2010,6,9931
Newark Liberty International Airport,2010,7,9000
Newark Liberty International Airport,2010,8,10139
Newark Liberty International Airport,2010,9,9660
Newark Liberty International Airport,2010,10,9318
Newark Liberty International Airport,2010,11,7279
Newark Liberty International Airport,2010,12,7967
Newark Liberty International Airport,2011,1,5833
Newark Liberty International Airport,2011,2,5504
Newark Liberty International Airport,2011,3,7913
Newark Liberty International Airport,2011,4,8732
Newark Liberty International Airport,2011,5,9741
Newark Liberty International Airport,2011,6,9029
Newark Liberty International Airport,2011,7,8161
Newark Liberty International Airport,2011,8,8948
Newark Liberty International Airport,2011,9,8773
Newark Liberty International Airport,2011,10,9022
Newark Liberty International Airport,2011,11,7105
Newark Liberty International Airport,2011,12,8221
